name,date_of_birth,time_of_birth,latitude,longitude,tz_offset,rodden_rating,categories,source_url
Alain Jessua,1932-01-16,16:30:00,48.857000,2.351000,0.0000,AA,marriage : happiness,https://github.com/VedAstro/VedAstro#AlainJessua1932
Alain Juppé,1945-08-15,04:00:00,43.891000,-0.498000,2.0000,AA,marriage : happiness,https://github.com/VedAstro/VedAstro#AlainJuppé1945
Alain Lancelot,1937-01-12,21:30:00,46.198000,6.185000,1.0000,AA,marriage : happiness,https://github.com/VedAstro/VedAstro#AlainLancelot1937
Alain Lemyse,1931-11-06,09:30:00,50.691000,3.173000,0.0000,AA,marriage : dissolution,https://github.com/VedAstro/VedAstro#AlainLemyse1931
Alain Lipietz,1947-09-19,15:00:00,48.826000,2.407000,1.0000,AA,marriage : dissolution,https://github.com/VedAstro/VedAstro#AlainLipietz1947
Alain Penaud,1969-07-19,06:30:00,45.159000,1.533000,1.0000,AA,marriage : happiness,https://github.com/VedAstro/VedAstro#AlainPenaud1969
Alain Peyrefitte,1925-08-26,10:00:00,44.220000,1.979000,1.0000,AA,marriage : happiness,https://github.com/VedAstro/VedAstro#AlainPeyrefitte1925
Alain Poher,1909-04-17,08:00:00,48.722000,2.418000,0.1500,AA,marriage : happiness,https://github.com/VedAstro/VedAstro#AlainPoher1909
Alain Poiré,1917-02-13,04:00:00,48.857000,2.351000,0.0000,AA,marriage : happiness,https://github.com/VedAstro/VedAstro#AlainPoiré1917
Alain Prost,1955-02-24,11:45:00,45.515000,4.582000,1.0000,AA,marriage : happiness,https://github.com/VedAstro/VedAstro#AlainProst1955
Alain Resnais,1922-06-03,20:15:00,47.655000,-2.760000,1.0000,AA,marriage : dissolution,https://github.com/VedAstro/VedAstro#AlainResnais1922
