rank,feature,mean_abs_shap
699,combust_saturn,0.000000
700,oob_saturn,0.000000
701,rx_rahu,0.000000
702,stationary_rahu,0.000000
703,combust_rahu,0.000000
704,lat_rahu,0.000000
705,oob_rahu,0.000000
706,vel_ketu,0.000000
707,rx_ketu,0.000000
708,stationary_ketu,0.000000
709,combust_ketu,0.000000
710,lat_ketu,0.000000
711,oob_ketu,0.000000
712,sav_house_1,0.000000
713,sav_house_6,0.000000
714,bav_in_sign_sun,0.000000
715,bav_in_sign_moon,0.000000
716,bav_in_sign_venus,0.000000
717,d9_moon_sign,0.000000
718,d9_venus_sign,0.000000
719,disp_depth_sun,0.000000
720,disp_depth_mars,0.000000
721,disp_depth_mercury,0.000000
722,disp_depth_saturn,0.000000
723,lagna_sign,0.000000
724,acc_ketu,0.000000
725,jerk_ketu,0.000000
726,drishti_sun_sun,0.000000
727,drishti_sun_moon,0.000000
728,drishti_sun_mars,0.000000
729,drishti_sun_mercury,0.000000
730,drishti_sun_jupiter,0.000000
731,drishti_sun_venus,0.000000
732,drishti_sun_saturn,0.000000
733,drishti_sun_rahu,0.000000
734,drishti_sun_ketu,0.000000
735,drishti_moon_sun,0.000000
736,drishti_moon_moon,0.000000
737,drishti_moon_mars,0.000000
738,drishti_moon_mercury,0.000000
739,drishti_moon_jupiter,0.000000
740,drishti_moon_venus,0.000000
741,drishti_moon_saturn,0.000000
742,drishti_moon_rahu,0.000000
743,drishti_moon_ketu,0.000000
744,drishti_mars_sun,0.000000
745,drishti_mars_moon,0.000000
746,drishti_mars_mars,0.000000
747,drishti_mars_mercury,0.000000
748,drishti_mars_jupiter,0.000000
749,drishti_mars_venus,0.000000
750,drishti_mars_saturn,0.000000
751,drishti_mars_rahu,0.000000
752,drishti_mars_ketu,0.000000
753,drishti_mercury_sun,0.000000
754,drishti_mercury_moon,0.000000
755,drishti_mercury_mars,0.000000
756,drishti_mercury_mercury,0.000000
757,drishti_mercury_jupiter,0.000000
758,drishti_mercury_venus,0.000000
759,drishti_mercury_saturn,0.000000
760,drishti_mercury_rahu,0.000000
761,drishti_mercury_ketu,0.000000
762,drishti_jupiter_mars,0.000000
763,drishti_jupiter_mercury,0.000000
764,drishti_jupiter_jupiter,0.000000
765,drishti_jupiter_venus,0.000000
766,drishti_jupiter_saturn,0.000000
767,drishti_venus_sun,0.000000
768,drishti_venus_moon,0.000000
769,drishti_venus_mars,0.000000
770,drishti_venus_mercury,0.000000
771,drishti_venus_jupiter,0.000000
772,drishti_venus_venus,0.000000
773,drishti_venus_saturn,0.000000
774,drishti_venus_rahu,0.000000
775,drishti_venus_ketu,0.000000
776,drishti_saturn_sun,0.000000
777,drishti_saturn_moon,0.000000
778,drishti_saturn_mars,0.000000
779,drishti_saturn_mercury,0.000000
780,drishti_saturn_jupiter,0.000000
781,drishti_saturn_venus,0.000000
782,drishti_saturn_saturn,0.000000
783,drishti_saturn_rahu,0.000000
784,drishti_saturn_ketu,0.000000
785,drishti_rahu_sun,0.000000
786,drishti_rahu_moon,0.000000
787,drishti_rahu_mars,0.000000
788,drishti_rahu_jupiter,0.000000
